text@tn1990f	@tn1990f	180.792	184.902	второй раз / э / был в Малазии // мы поехали туда с друзьями
text@tn1990f	@tn1990f	185.57	192.09	ну естественно видим // опция / нырялка // мы сказали /  да / хотим / и там был один иркутский дайвер // Эдик
text@tn1990f	@tn1990f	192.55	200.85	мы говорим / эдик / мы полезем под воду / это классно / мы щас те покажем как умеем муж как раз он / э / тоже имел богатый опыт ныряния с российским аквалангом
text@tn1990f	@tn1990f	201.26	209.0	ну который просто на лямках / баллон крепится к телу дайвера и в рот регулятор / без крыла / вообще без ничего / ну такая // не помню названия этой системы
text@tn1990f	@tn1990f	210.0	214.19	купил ее на Украине / на распродаже / когда Союз разваливался
text@tn1990f	@tn1990f	214.39	221.62	вот / и мы залезли / говорим / эдик / ну мы же классные / крутые дайверы // он на нас так посмотрел / говорит / ребята / вам надо идти учиться
text@tn1990f	@tn1990f	221.64	226.65	мы говорим / эдик / ну куда же / он говорит / я знаю лучшего инструктора в Иркутске / вы пойдете именно к нему
text@tn1990f	@tn1990f	228.105	231.98	да / и мы попали к Андрею Демитревичу на курс open water diver
text@tn1990f	@tn1990f	233.49	234.97	это было десять лет назад
text@tn1990f	@tn1990f	236.65	237.01	да
text@tn1990f	@tn1990f	237.01	241.56	у меня первая как бы официальная открытая вода была в Байкале
text@tn1990f	@tn1990f	242.79	244.865	холодная // в Байкале четыре градуса
text@tn1990f	@tn1990f	246.39	249.02	в мокром костюме // нет / в мокром костюме
text@tn1990f	@tn1990f	249.077	261.343	потом я еще доказывала / мм / целую неделю / что я достойна сухого костюма / который висел у меня в шкафу и мне очень хотелось в него залезть / но // Андрей Александрович говорил / что я недостойна
text@tn1990f	@tn1990f	264.628	267.171	ну так активно десять // с небольшими перерывами
text@tn1990f	@tn1990f	270.53	277.452	не считала / но я подозреваю / что очень много / учитывая / что в Иркутске мы каждую субботу ездили на дайвинг
text@tn1990f	@tn1990f	279.201	281.592	ну возможно / ну пятьсот тыща я думаю  
text@tn1990f	@tn1990f	281.614	282.125	#нрзб#
text@tn1990f	@tn1990f	282.129	295.375	ну / официально записаных двести // это спустя два года я записала двести дайвов и поняла что / ну / как-то скучно писать / да / Листвянка / да нырнула / температура воды четыре градуса / напарник тот же 
text@tn1990f	@tn1990f	297.889	300.718	нет / нас никогда не ставили // вместе 
